scat_id,geno_success,time_searched,time_elapsed,time_created,cover,month_created,month_searched,season_searched,season_created,high_temp_mean,high_temp_min,high_temp_max,low_temp_mean,low_temp_min,low_temp_max,humidity_mean,precip_mean,total_precip,precip_max,collection_period,group,days_elapsed
17,0,9/19/2018,167,9/12/2018,1,September,September,Summer,Summer,71.97,64.44,79.92,33.79,26.83,41.94,43.694,0.002,0.02,0.01,summer,6,7
19,1,11/18/2018,300,11/6/2018,0,November,November,Fall,Fall,30.716,21.6,38.97,7.242,-3.53,20.17,78.082,0.02,0.26,0.08,winter,8,12
20,0,11/18/2018,300,11/6/2018,0,November,November,Fall,Fall,30.716,21.6,38.97,7.242,-3.53,20.17,78.082,0.02,0.26,0.08,winter,8,12
21,0,11/22/2018,156,11/16/2018,0,November,November,Fall,Fall,33.179,21.6,38.53,8.186,-3.53,20.17,78.43,0.004,0.03,0.01,winter,9,6
22,1,11/22/2018,156,11/16/2018,0,November,November,Fall,Fall,33.179,21.6,38.53,8.186,-3.53,20.17,78.43,0.004,0.03,0.01,winter,9,6
23,0,11/23/2018,159,11/16/2018,0,November,November,Fall,Fall,33.479,21.6,38.53,10.504,-3.53,26.73,77.67,0.015,0.12,0.09,winter,10,7
24,0,11/23/2018,159,11/16/2018,0,November,November,Fall,Fall,33.479,21.6,38.53,10.504,-3.53,26.73,77.67,0.015,0.12,0.09,winter,10,7
25,0,11/23/2018,159,11/16/2018,0,November,November,Fall,Fall,33.479,21.6,38.53,10.504,-3.53,26.73,77.67,0.015,0.12,0.09,winter,10,7
26,1,11/20/2018,90,11/16/2018,1,November,November,Fall,Fall,31.804,21.6,38.53,7.518,-3.53,20.17,79.876,0.006,0.03,0.01,winter,11,4
27,1,11/23/2018,147,11/17/2018,0,November,November,Fall,Fall,33.299,21.6,38.53,9.123,-3.53,26.73,76.62,0.016,0.11,0.09,winter,12,6
28,0,11/28/2018,57,11/26/2018,0,November,November,Fall,Fall,33.147,28.74,37.6,13.707,2.5,21.06,82.537,0.017,0.05,0.05,winter,13,2
29,0,11/28/2018,57,11/26/2018,0,November,November,Fall,Fall,33.147,28.74,37.6,13.707,2.5,21.06,82.537,0.017,0.05,0.05,winter,13,2
30,1,11/28/2018,57,11/26/2018,0,November,November,Fall,Fall,33.147,28.74,37.6,13.707,2.5,21.06,82.537,0.017,0.05,0.05,winter,13,2
34,0,11/29/2018,183,11/21/2018,0,November,November,Fall,Fall,33.196,27.28,37.6,13.594,2.5,26.73,79.994,0.044,0.4,0.24,winter,14,8
37,1,12/5/2018,138,11/29/2018,1,November,December,Fall,Fall,23.354,15.71,32.29,0.351,-14.3,12.61,80.571,0.026,0.18,0.12,winter,17,6
38,1,12/8/2018,312,11/25/2018,1,November,December,Fall,Fall,26.239,15.71,37.6,2.149,-14.3,21.06,80.36,0.018,0.25,0.12,winter,18,13
41,1,12/10/2018,100,12/6/2018,0,December,December,Fall,Fall,26.134,17.94,31.75,-2.43,-14.12,5.67,78.106,0.002,0.01,0.01,winter,20,4
43,1,12/10/2018,100,12/6/2018,0,December,December,Fall,Fall,26.134,17.94,31.75,-2.43,-14.12,5.67,78.106,0.002,0.01,0.01,winter,20,4
44,0,12/11/2018,143,12/5/2018,1,December,December,Fall,Fall,24.937,15.71,31.75,-2.193,-14.3,11.1,77.327,0.014,0.1,0.09,winter,21,6
45,1,12/11/2018,143,12/5/2018,1,December,December,Fall,Fall,24.937,15.71,31.75,-2.193,-14.3,11.1,77.327,0.014,0.1,0.09,winter,21,6
46,0,12/11/2018,143,12/5/2018,1,December,December,Fall,Fall,24.937,15.71,31.75,-2.193,-14.3,11.1,77.327,0.014,0.1,0.09,winter,21,6
48,1,12/11/2018,143,12/5/2018,1,December,December,Fall,Fall,24.937,15.71,31.75,-2.193,-14.3,11.1,77.327,0.014,0.1,0.09,winter,21,6
49,0,12/11/2018,143,12/5/2018,1,December,December,Fall,Fall,24.937,15.71,31.75,-2.193,-14.3,11.1,77.327,0.014,0.1,0.09,winter,21,6
50,1,12/11/2018,143,12/5/2018,1,December,December,Fall,Fall,24.937,15.71,31.75,-2.193,-14.3,11.1,77.327,0.014,0.1,0.09,winter,21,6
51,0,12/11/2018,143,12/5/2018,1,December,December,Fall,Fall,24.937,15.71,31.75,-2.193,-14.3,11.1,77.327,0.014,0.1,0.09,winter,21,6
52,1,12/11/2018,143,12/5/2018,1,December,December,Fall,Fall,24.937,15.71,31.75,-2.193,-14.3,11.1,77.327,0.014,0.1,0.09,winter,21,6
53,0,12/11/2018,143,12/5/2018,1,December,December,Fall,Fall,24.937,15.71,31.75,-2.193,-14.3,11.1,77.327,0.014,0.1,0.09,winter,21,6
54,1,12/11/2018,143,12/5/2018,1,December,December,Fall,Fall,24.937,15.71,31.75,-2.193,-14.3,11.1,77.327,0.014,0.1,0.09,winter,21,6
58,1,12/10/2018,137,12/4/2018,0,December,December,Fall,Fall,24.29,15.71,31.75,-4.116,-14.3,5.67,77.089,0.001,0.01,0.01,winter,24,6
60,1,12/16/2018,65,12/13/2018,1,December,December,Fall,Fall,30.113,23.7,36.55,6.425,2.41,11.82,74.71,0.005,0.02,0.01,winter,26,3
61,1,12/16/2018,65,12/13/2018,1,December,December,Fall,Fall,30.113,23.7,36.55,6.425,2.41,11.82,74.71,0.005,0.02,0.01,winter,26,3
62,1,12/16/2018,65,12/13/2018,1,December,December,Fall,Fall,30.113,23.7,36.55,6.425,2.41,11.82,74.71,0.005,0.02,0.01,winter,26,3
63,0,12/16/2018,65,12/13/2018,1,December,December,Fall,Fall,30.113,23.7,36.55,6.425,2.41,11.82,74.71,0.005,0.02,0.01,winter,26,3
64,1,12/16/2018,65,12/13/2018,1,December,December,Fall,Fall,30.113,23.7,36.55,6.425,2.41,11.82,74.71,0.005,0.02,0.01,winter,26,3
65,1,12/16/2018,65,12/13/2018,1,December,December,Fall,Fall,30.113,23.7,36.55,6.425,2.41,11.82,74.71,0.005,0.02,0.01,winter,26,3
66,1,12/16/2018,65,12/13/2018,1,December,December,Fall,Fall,30.113,23.7,36.55,6.425,2.41,11.82,74.71,0.005,0.02,0.01,winter,26,3
67,1,12/16/2018,65,12/13/2018,1,December,December,Fall,Fall,30.113,23.7,36.55,6.425,2.41,11.82,74.71,0.005,0.02,0.01,winter,26,3
74,1,3/5/2019,89,3/1/2019,0,March,March,Winter,Winter,16.082,8.1,26.58,-15.446,-28.19,-3.75,71.124,0.004,0.02,0.01,winter,31,4
75,0,3/5/2019,89,3/1/2019,0,March,March,Winter,Winter,16.082,8.1,26.58,-15.446,-28.19,-3.75,71.124,0.004,0.02,0.01,winter,31,4
76,1,4/2/2019,222,3/24/2019,0,March,April,Spring,Winter,45.391,37.11,53.06,21.78,12.85,28.18,69.194,0.022,0.22,0.13,winter,32,9
79,0,3/13/2019,292,3/1/2019,1,March,March,Winter,Winter,25.82,8.1,40.98,-1.973,-28.19,20.62,73.181,0.036,0.47,0.29,winter,33,12
84,1,3/17/2019,84,3/14/2019,0,March,March,Winter,Winter,38.96,31.69,42.91,4.572,0.61,7.11,67.348,0.002,0.01,0.01,winter,36,3
86,1,3/21/2019,132,3/16/2019,0,March,March,Winter,Winter,45.848,41.32,52.47,7.227,3.79,12.49,66.345,0.002,0.01,0.01,winter,37,5
87,0,3/21/2019,132,3/16/2019,0,March,March,Winter,Winter,45.848,41.32,52.47,7.227,3.79,12.49,66.345,0.002,0.01,0.01,winter,37,5
92,1,3/28/2019,484,3/8/2019,0,March,March,Winter,Winter,41.522,26.85,53.06,11.321,-9.99,28.18,69.964,0.017,0.35,0.13,winter,40,20
95,0,5/29/2019,292,5/17/2019,0,May,May,Spring,Spring,53.167,46.53,67.53,33.967,27,39.69,72.965,0.07,0.91,0.25,summer,42,12
96,1,5/28/2019,258,5/17/2019,0,May,May,Spring,Spring,51.97,46.53,62.6,34.548,29.68,39.69,74.783,0.076,0.91,0.25,summer,43,11
97,1,5/23/2019,234,5/13/2019,0,May,May,Spring,Spring,56.713,46.53,72.03,31.882,20.14,39.78,66.578,0.05,0.84,0.29,z_den,44,10
98,0,5/23/2019,234,5/13/2019,0,May,May,Spring,Spring,56.713,46.53,72.03,31.882,20.14,39.78,66.578,0.05,0.84,0.29,z_den,44,10
100,0,5/23/2019,234,5/13/2019,0,May,May,Spring,Spring,56.713,46.53,72.03,31.882,20.14,39.78,66.578,0.05,0.84,0.29,z_den,44,10
102,0,5/29/2019,447,5/10/2019,0,May,May,Spring,Spring,57.883,46.53,72.03,33.124,20.14,39.78,68.858,0.063,1.26,0.29,summer,45,19
103,1,8/16/2019,796,7/14/2019,1,June,August,Summer,Spring,75.711,51.84,88.57,41.426,27.86,50.41,63.995,0.05,1.7,0.44,z_den,46,33
105,1,8/16/2019,796,7/14/2019,1,June,August,Summer,Spring,75.711,51.84,88.57,41.426,27.86,50.41,63.995,0.05,1.7,0.44,z_den,46,33
107,0,8/16/2019,796,7/14/2019,1,June,August,Summer,Spring,75.711,51.84,88.57,41.426,27.86,50.41,63.995,0.05,1.7,0.44,z_den,46,33
110,1,8/16/2019,796,7/14/2019,1,June,August,Summer,Spring,75.711,51.84,88.57,41.426,27.86,50.41,63.995,0.05,1.7,0.44,z_den,46,33
111,0,8/16/2019,796,7/14/2019,1,June,August,Summer,Spring,75.711,51.84,88.57,41.426,27.86,50.41,63.995,0.05,1.7,0.44,z_den,46,33
112,0,8/16/2019,796,7/14/2019,1,June,August,Summer,Spring,75.711,51.84,88.57,41.426,27.86,50.41,63.995,0.05,1.7,0.44,z_den,46,33
113,1,8/16/2019,796,7/14/2019,1,June,August,Summer,Spring,75.711,51.84,88.57,41.426,27.86,50.41,63.995,0.05,1.7,0.44,z_den,46,33
114,1,8/16/2019,796,7/14/2019,1,June,August,Summer,Spring,75.711,51.84,88.57,41.426,27.86,50.41,63.995,0.05,1.7,0.44,z_den,46,33
115,1,8/16/2019,796,7/14/2019,1,June,August,Summer,Spring,75.711,51.84,88.57,41.426,27.86,50.41,63.995,0.05,1.7,0.44,z_den,46,33
117,0,8/16/2019,796,7/14/2019,1,June,August,Summer,Spring,75.711,51.84,88.57,41.426,27.86,50.41,63.995,0.05,1.7,0.44,z_den,46,33
121,0,8/12/2019,748,7/14/2019,1,June,August,Summer,Spring,75.679,51.84,88.57,41.553,27.86,50.41,64.236,0.052,1.61,0.44,z_den,47,29
125,1,8/12/2019,748,7/14/2019,1,June,August,Summer,Spring,75.679,51.84,88.57,41.553,27.86,50.41,64.236,0.052,1.61,0.44,z_den,47,29
133,1,8/16/2019,796,7/14/2019,1,June,August,Summer,Spring,75.711,51.84,88.57,41.426,27.86,50.41,63.995,0.05,1.7,0.44,z_den,48,33
137,1,8/16/2019,796,7/14/2019,1,June,August,Summer,Spring,75.711,51.84,88.57,41.426,27.86,50.41,63.995,0.05,1.7,0.44,z_den,48,33
138,0,8/21/2019,856,7/14/2019,1,June,August,Summer,Spring,76.064,51.84,88.57,41.401,27.86,50.41,63.087,0.047,1.73,0.44,z_den,48,38
139,1,8/21/2019,856,7/14/2019,1,June,August,Summer,Spring,76.064,51.84,88.57,41.401,27.86,50.41,63.087,0.047,1.73,0.44,z_den,48,38
142,1,8/21/2019,856,7/14/2019,1,June,August,Summer,Spring,76.064,51.84,88.57,41.401,27.86,50.41,63.087,0.047,1.73,0.44,z_den,48,38
145,1,8/21/2019,856,7/14/2019,1,June,August,Summer,Spring,76.064,51.84,88.57,41.401,27.86,50.41,63.087,0.047,1.73,0.44,z_den,48,38
146,1,8/21/2019,856,7/14/2019,1,June,August,Summer,Spring,76.064,51.84,88.57,41.401,27.86,50.41,63.087,0.047,1.73,0.44,z_den,48,38
150,0,8/21/2019,856,7/14/2019,1,June,August,Summer,Spring,76.064,51.84,88.57,41.401,27.86,50.41,63.087,0.047,1.73,0.44,z_den,48,38
151,0,8/21/2019,856,7/14/2019,1,June,August,Summer,Spring,76.064,51.84,88.57,41.401,27.86,50.41,63.087,0.047,1.73,0.44,z_den,48,38
182,1,3/12/2020,86,3/8/2020,1,March,March,Winter,Winter,40.632,37.53,45.91,21.92,14.29,26.02,65.014,0.004,0.02,0.01,winter,64,4
183,1,3/13/2020,30,3/12/2020,0,March,March,Winter,Winter,37.825,37.53,38.12,8.135,1.98,14.29,61.92,0.01,0.02,0.01,winter,65,1
187,1,6/26/2020,588,6/1/2020,1,May,June,Spring,Spring,65.048,38.63,82.77,36.631,22.84,46.47,63.594,0.052,0.76,0.74,z_den,66,25
188,1,6/26/2020,588,6/1/2020,1,May,June,Spring,Spring,65.048,38.63,82.77,36.631,22.84,46.47,63.594,0.052,0.76,0.74,z_den,66,25
190,0,6/26/2020,588,6/1/2020,1,May,June,Spring,Spring,65.048,38.63,82.77,36.631,22.84,46.47,63.594,0.052,0.76,0.74,z_den,66,25
192,1,6/26/2020,588,6/1/2020,1,May,June,Spring,Spring,65.048,38.63,82.77,36.631,22.84,46.47,63.594,0.052,0.76,0.74,z_den,66,25
193,0,6/26/2020,588,6/1/2020,1,May,June,Spring,Spring,65.048,38.63,82.77,36.631,22.84,46.47,63.594,0.052,0.76,0.74,z_den,66,25
194,1,6/26/2020,588,6/1/2020,1,May,June,Spring,Spring,65.048,38.63,82.77,36.631,22.84,46.47,63.594,0.052,0.76,0.74,z_den,66,25
195,1,6/26/2020,588,6/1/2020,1,May,June,Spring,Spring,65.048,38.63,82.77,36.631,22.84,46.47,63.594,0.052,0.76,0.74,z_den,66,25
196,1,6/26/2020,588,6/1/2020,1,May,June,Spring,Spring,65.048,38.63,82.77,36.631,22.84,46.47,63.594,0.052,0.76,0.74,z_den,66,25
197,1,6/26/2020,588,6/1/2020,1,May,June,Spring,Spring,65.048,38.63,82.77,36.631,22.84,46.47,63.594,0.052,0.76,0.74,z_den,66,25
198,1,6/26/2020,588,6/1/2020,1,May,June,Spring,Spring,65.048,38.63,82.77,36.631,22.84,46.47,63.594,0.052,0.76,0.74,z_den,66,25
200,0,6/26/2020,588,6/1/2020,1,May,June,Spring,Spring,65.048,38.63,82.77,36.631,22.84,46.47,63.594,0.052,0.76,0.74,z_den,66,25
202,0,7/9/2020,328,6/25/2020,1,June,July,Summer,Spring,71.555,52.68,80.94,40.211,35.79,46.25,60.641,0.051,0.77,0.35,summer,67,14
203,1,7/9/2020,363,6/24/2020,1,June,July,Summer,Spring,72.168,52.68,81.35,40.369,35.79,46.25,60.451,0.048,0.77,0.35,summer,68,15
204,1,8/25/2020,1793,6/11/2020,1,March,August,Summer,Winter,66.499,24.67,91.28,35.033,-1.23,51.33,58.396,0.038,1.51,0.74,z_den,69,75
205,0,8/25/2020,1793,6/11/2020,1,March,August,Summer,Winter,66.499,24.67,91.28,35.033,-1.23,51.33,58.396,0.038,1.51,0.74,z_den,69,75
206,0,8/25/2020,1793,6/11/2020,1,March,August,Summer,Winter,66.499,24.67,91.28,35.033,-1.23,51.33,58.396,0.038,1.51,0.74,z_den,69,75
207,0,8/25/2020,1793,6/11/2020,1,March,August,Summer,Winter,66.499,24.67,91.28,35.033,-1.23,51.33,58.396,0.038,1.51,0.74,z_den,69,75
