"scatID","geno","cover","period","days_elapsed","month_created","high_temp_mean","total_precip","site","easting","northing"
"52",1,"1","winter",6,"December",24.937,0.1,"21",516712,4978472
"53",0,"1","winter",6,"December",24.937,0.1,"21",516712,4978472
"54",1,"1","winter",6,"December",24.937,0.1,"21",516712,4978472
"58",1,"0","winter",6,"December",24.29,0.01,"24",548018,4977338
"60",1,"1","winter",3,"December",30.113,0.02,"26",521406,4979834
"61",1,"1","winter",3,"December",30.113,0.02,"26",521406,4979834
"62",1,"1","winter",3,"December",30.113,0.02,"26",521406,4979834
"63",0,"1","winter",3,"December",30.113,0.02,"26",521406,4979834
"64",1,"1","winter",3,"December",30.113,0.02,"26",521406,4979834
"65",1,"1","winter",3,"December",30.113,0.02,"26",521406,4979834
"66",1,"1","winter",3,"December",30.113,0.02,"26",521406,4979834
"67",1,"1","winter",3,"December",30.113,0.02,"26",521406,4979834
"74",1,"0","winter",4,"March",16.082,0.02,"31",545371,4980530
"75",0,"0","winter",4,"March",16.082,0.02,"31",545371,4980530
"76",1,"0","winter",9,"March",45.391,0.22,"32",548664,4976831
"79",0,"1","winter",12,"March",25.82,0.47,"33",524613,4977762
"84",1,"0","winter",3,"March",38.96,0.01,"36",541610,4982388
"86",1,"0","winter",5,"March",45.848,0.01,"37",533477,4980449
"87",0,"0","winter",5,"March",45.848,0.01,"37",533477,4980449
"92",1,"0","winter",20,"March",41.522,0.35,"40",550587,4971214
"95",0,"0","summer",12,"May",53.167,0.91,"42",556919,4972900
"96",1,"0","summer",11,"May",51.97,0.91,"43",548058,4967620
"97",1,"0","z_den",10,"May",56.713,0.84,"44",552646,4976453
"98",0,"0","z_den",10,"May",56.713,0.84,"44",552646,4976453
"100",0,"0","z_den",10,"May",56.713,0.84,"44",552646,4976453
"102",0,"0","summer",19,"May",57.883,1.26,"45",528872,4986105
"103",1,"1","z_den",33,"June",75.711,1.7,"46",555530,4976893
"105",1,"1","z_den",33,"June",75.711,1.7,"46",555530,4976893
"107",0,"1","z_den",33,"June",75.711,1.7,"46",555530,4976893
"110",1,"1","z_den",33,"June",75.711,1.7,"46",555530,4976893
"111",0,"1","z_den",33,"June",75.711,1.7,"46",555530,4976893
"112",0,"1","z_den",33,"June",75.711,1.7,"46",555530,4976893
"113",1,"1","z_den",33,"June",75.711,1.7,"46",555530,4976893
"114",1,"1","z_den",33,"June",75.711,1.7,"46",555530,4976893
"115",1,"1","z_den",33,"June",75.711,1.7,"46",555530,4976893
"117",0,"1","z_den",33,"June",75.711,1.7,"46",555530,4976893
"121",0,"1","z_den",29,"June",75.679,1.61,"47",555530,4976893
"125",1,"1","z_den",29,"June",75.679,1.61,"47",555530,4976893
"133",1,"1","z_den",33,"June",75.711,1.7,"48",555530,4976893
"137",0,"1","z_den",33,"June",75.711,1.7,"48",555530,4976893
"138",0,"1","z_den",38,"June",76.064,1.73,"48",555530,4976893
"139",0,"1","z_den",38,"June",76.064,1.73,"48",555530,4976893
"142",0,"1","z_den",38,"June",76.064,1.73,"48",555530,4976893
"145",1,"1","z_den",38,"June",76.064,1.73,"48",555530,4976893
"146",0,"1","z_den",38,"June",76.064,1.73,"48",555530,4976893
"150",0,"1","z_den",38,"June",76.064,1.73,"48",555530,4976893
"151",0,"1","z_den",38,"June",76.064,1.73,"48",555530,4976893
"182",0,"1","winter",4,"March",40.632,0.02,"64",556847,4977565
"183",1,"0","winter",1,"March",37.825,0.02,"65",546640,4974466
"187",0,"1","z_den",25,"May",65.048,0.76,"66",517206,4977461
"188",1,"1","z_den",25,"May",65.048,0.76,"66",517206,4977461
"190",0,"1","z_den",25,"May",65.048,0.76,"66",517206,4977461
"192",1,"1","z_den",25,"May",65.048,0.76,"66",517206,4977461
"193",0,"1","z_den",25,"May",65.048,0.76,"66",517206,4977461
"194",1,"1","z_den",25,"May",65.048,0.76,"66",517206,4977461
"195",1,"1","z_den",25,"May",65.048,0.76,"66",517206,4977461
"196",0,"1","z_den",25,"May",65.048,0.76,"66",517206,4977461
"197",1,"1","z_den",25,"May",65.048,0.76,"66",517206,4977461
"198",1,"1","z_den",25,"May",65.048,0.76,"66",517206,4977461
"200",0,"1","z_den",25,"May",65.048,0.76,"66",517206,4977461
"202",0,"1","summer",14,"June",71.555,0.77,"67",542899,4975605
"203",0,"1","summer",15,"June",72.168,0.77,"68",542655,4975755
"204",0,"1","z_den",75,"March",66.499,1.51,"69",541457,4944896
"205",0,"1","z_den",75,"March",66.499,1.51,"69",541457,4944896
"206",0,"1","z_den",75,"March",66.499,1.51,"69",541457,4944896
"207",0,"1","z_den",75,"March",66.499,1.51,"69",541457,4944896
